Loc_x,Loc_y,Floor,Mag_x,Mag_y,Mag_z,
5.298645306,22.79605933,4,-2.198817039,23.68165812,-34.73901629,42.10053421
4.51591923,18.41387011,4,-3.316509212,22.59672251,-34.31016424,41.21648301
3.733193155,14.0316809,4,-3.404664869,22.29684423,-33.8813122,40.70238717
2.950467079,9.649491688,4,-3.492820526,22.98471143,-33.45246015,40.73774472
1.786964443,3.135477576,4,-4.76221154,11.85486733,-28.59608739,31.32016526
4.032623013,5.57012598,4,-3.370941148,22.03370239,-34.04536845,40.69317385
6.278281583,8.004774383,4,-0.712506282,25.03953072,-33.19740369,41.58789939
8.523940153,10.43942279,4,-0.448567588,21.42111369,-30.37226027,37.16906669
11.01506801,13.14019865,4,-1.344175862,16.72322842,-27.64252428,32.33546545
11.34396985,17.66706719,4,-1.269289675,16.18743443,-26.64079193,31.19897313
11.67287168,22.19393572,4,-0.141187286,15.65164044,-25.63905959,30.039227
12.24928652,30.12747075,4,1.835861474,17.91959048,-24.22646611,30.18946456
10.54747435,33.89920697,4,-1.176066966,17.48495685,-29.06666866,33.94080254
8.84566218,37.67094319,4,-0.56423283,20.63007303,-30.19390795,36.5730823
7.14385001,41.44267941,4,0.047601305,24.81443879,-31.13990249,39.81773682
3.937622191,48.54866079,4,-3.381640753,22.11719002,-33.99331793,40.69583827
3.651621746,45.25169399,4,-3.413851967,22.36852997,-33.83661959,40.705311
3.365621301,41.95472719,4,-3.446063181,22.61986991,-33.67992125,40.7169616
3.079620856,38.65776039,4,-3.478274395,22.87120985,-33.52322291,40.7307882
2.793620411,35.36079359,4,-3.510485609,23.12254979,-33.36652458,40.74678859
2.507619966,32.06382679,4,-3.542696823,23.37388973,-32.9130838,40.52357964
2.221619521,28.76685999,4,-3.574908037,23.62522968,-32.42551421,40.27834923
1.935619076,25.46989319,4,-3.607119251,23.87656962,-31.93794463,40.03915825
1.649618631,22.17292639,4,-3.639330465,24.12790956,-31.45037505,39.80611557
1.317857614,18.34843913,4,-3.676695529,24.41946433,-30.88479349,39.54363156
2.11622873,20.5684915,4,-3.586777827,23.71784812,-32.24584546,40.18949917
2.914599846,22.78854387,4,-3.496860125,23.0162319,-33.43280866,40.73975523
3.712970962,25.00859623,4,-3.406942423,22.31461568,-33.87023255,40.70309549
4.511342078,27.2286486,4,-3.317024721,22.59037812,-34.30765644,41.21095882
5.309713194,29.44870097,4,-2.182024765,23.69699931,-34.74508034,42.113295
6.10808431,31.66875333,4,-0.970730731,24.80362049,-33.60197147,41.77624198
6.906455426,33.8888057,4,0.132949214,25.39813761,-31.70420177,40.62313971
8.296691902,37.75467424,4,-0.36686748,21.97986501,-30.49823936,37.59510157
6.915959201,32.80739172,4,0.129532425,25.37477001,-31.68161081,40.59088808
6.749266055,35.56178104,4,0.00207453,25.69236169,-32.07784909,41.0984897
6.58257291,38.31617035,4,-0.250833433,25.46130854,-32.47408737,41.26629981
6.415879764,41.07055966,4,-0.503741395,25.23025538,-32.87032565,41.44005128
6.249186619,43.82494898,4,-0.756649358,24.99920222,-33.26656393,41.6196697
6.082493474,46.57933829,4,-1.009557321,24.76814907,-33.66280222,41.80507944
5.906073744,49.49444687,4,-1.277222523,24.5236139,-34.0821611,42.00753077
10.17580114,47.3506029,4,-1.042443315,18.09042709,-29.45652182,34.58376669
2.805720014,45.03229961,4,-3.509122874,23.11191654,-33.37315389,40.74606767
5.83933942,47.11449869,4,-1.378472289,24.43111354,-34.24079206,42.08576167
9.065426474,49.32880266,4,-0.643242312,20.08972304,-30.07207772,36.17099101
9.540029293,45.78809878,4,-0.813871134,19.12612439,-29.80897323,35.42662706
10.01463211,42.2473949,4,-0.984499956,18.35297777,-29.54586873,34.79596805
10.48923493,38.70669102,4,-1.155128777,17.57983115,-29.24404776,34.14087162
10.96383775,35.16598715,4,-1.325757599,16.80668453,-27.79855567,32.51125921
11.43844057,31.62528327,4,-0.945263962,16.03353791,-26.35306359,30.86181819
11.91304339,28.08457939,4,0.682579125,16.40826908,-24.9075715,29.83428106
12.48410155,23.82428477,4,2.641254967,18.97502017,-24.11982786,30.80249526
9.755899603,26.05773333,4,-0.891480653,18.77446318,-29.68930169,35.1387228
7.027697658,28.29118189,4,0.089360305,25.10003078,-31.41600268,40.21174896
3.482120528,31.19377645,4,-3.432942287,22.51748927,-33.74375065,40.71195308
4.412559609,28.00176371,4,-3.328150239,22.45345586,-34.25353398,41.0918344
5.342998689,24.80975097,4,-2.131523787,23.74313629,-34.76331731,42.15172766
6.27343777,21.61773823,4,-0.719855348,25.03281671,-33.20891769,41.59317634
7.203876851,18.42572549,4,0.026020504,24.66684655,-31.10406077,39.69781597
8.134315932,15.23371275,4,-0.308490202,22.37911028,-30.58825536,37.90199347
9.064755012,12.04170001,4,-0.643000908,20.09137401,-30.07244995,36.17221317
9.995194093,8.849687273,4,-0.977511615,18.38464306,-29.55664454,34.82162929
11.56462846,3.46550403,4,-0.42302692,4.871461765,-0.585779565,4.924756766
9.895237292,7.781735533,4,-0.941575226,18.54747662,-29.61205737,34.95381802
8.225846121,12.09796704,4,-0.341397062,22.15405854,-30.53751398,37.7287506
6.556454949,16.41419854,4,-0.290459779,25.42510646,-32.53617112,41.29313305
4.887063777,20.73043004,4,-2.823271307,23.11116549,-34.51351265,41.6326721
1.925257286,28.38821732,4,-3.608286262,23.88567566,-31.92028,40.03060712
2.384873985,25.46508054,4,-3.556521267,23.48176008,-32.70382815,40.41759859
2.844490683,22.54194375,4,-3.504756271,23.07784451,-33.39439617,40.74378381
3.304107382,19.61880696,4,-3.452991275,22.67392893,-33.64621806,40.71975186
3.76372408,16.69567017,4,-3.40122628,22.27001336,-33.89803995,40.7013384
4.223340779,13.77253339,4,-3.349461284,22.19117989,-34.14986184,40.86417036
4.682957477,10.8493966,4,-3.132942759,22.82825401,-34.40168374,41.40555947
5.142574175,7.926259811,4,-2.435609209,23.46532813,-34.65350563,41.92158476
5.602190874,5.003123023,4,-1.738275659,24.10240225,-34.80450649,42.37099324
6.315248203,0.468117839,4,-0.865439738,7.285411479,-10.17787866,12.54653021
6.373733675,3.535730977,4,-1.778181368,4.02843475,-4.53374153,6.32020789
6.432219148,6.603344115,4,-0.478951173,25.25290338,-32.83148609,41.42275947
6.49070462,9.670957253,4,-0.39021662,25.33397002,-32.69246308,41.36132793
6.549190093,12.73857039,4,-0.301482068,25.41503666,-32.55344006,41.30062275
6.607675565,15.80618353,4,-0.212747515,25.49610329,-32.41441705,41.24064715
6.666161037,18.87379667,4,-0.124012962,25.57716993,-32.27539404,41.18140432
6.72464651,21.94140981,4,-0.03527841,25.65823657,-32.13637103,41.12289741
6.783131982,25.00902294,4,0.053456143,25.70136167,-31.99734802,41.04135877
6.841617455,28.07663608,4,0.142190695,25.55755931,-31.85832501,40.84313808
6.900102927,31.14424922,4,0.135233059,25.41375695,-31.719302,40.64469768
6.958588399,34.21186236,4,0.11420641,25.26995459,-31.58027898,40.44623182
7.047032198,38.85081537,4,0.082409167,25.05249158,-31.37004347,40.1461549
6.386426135,34.16330327,4,-0.54842864,25.18942974,-32.94033846,41.47136413
5.725820072,29.47579118,4,-1.550704607,24.27376452,-34.51063345,42.22089708
5.065214009,24.78827908,4,-2.552980575,23.3580993,-34.61112035,41.833577
4.404607946,20.10076699,4,-3.329045807,22.44243408,-34.2491773,41.08225333
3.744001883,15.41325489,4,-3.403447521,22.28734541,-33.88723425,40.70201304
3.08339582,10.72574279,4,-3.477849234,22.86789238,-33.5252912,40.73059154
2.203842403,4.484629499,4,-2.451123046,5.718401985,-0.493592887,6.241134464
2.843621984,8.958458261,4,-3.504854109,23.07860793,-33.39392021,40.74383454
3.483401565,13.43228702,4,-3.432798008,22.51636348,-33.74445252,40.71190001
4.548741761,20.8819615,4,-3.312812527,22.64221777,-34.32814756,41.25610824
5.530770132,23.64709289,4,-1.84663569,24.00340605,-34.86619642,42.37009816
6.512798503,26.41222429,4,-0.356695633,25.36459432,-32.63994477,41.33830997
7.494826873,29.17735569,4,-0.078581613,23.95146719,-30.94276747,39.12970501
8.476855244,31.94248708,4,-0.431639659,21.53688468,-30.39836262,37.25700155
9.458883615,34.70761848,4,-0.784697705,19.25831388,-29.85395777,35.53529511
10.44091199,37.47274988,4,-1.137755751,17.65855112,-29.30955292,34.23695092
11.42785729,40.25172606,4,-0.981563617,16.05077849,-26.38529695,30.89943126
5.839802491,34.33243408,4,-1.377769713,24.43175541,-34.23969131,42.08521573
6.087640622,30.14738557,4,-1.001748033,24.77528352,-33.65056718,41.79926846
6.335478752,25.96233705,4,-0.625726353,25.11881164,-33.06144304,41.52595872
6.583316882,21.77728853,4,-0.249704673,25.46233976,-32.47231891,41.2655376
7.054866318,13.8146023,4,0.07959265,25.03322927,-31.35142136,40.11957782
4.012078865,17.43772778,4,-3.373254963,22.05175678,-34.0341124,40.69372966
1.198947615,22.79954453,4,-3.761087284,24.52396358,-30.68207737,39.45833802
6.380795982,25.40974471,4,-0.556970747,25.18162579,-32.95372163,41.4773705
7.962324256,28.68287482,4,-0.246655894,22.80199836,-30.683602,38.22924797
10.69290373,34.33408071,4,-1.228351621,17.24804668,-28.62373614,33.44132522
8.776450083,29.93285632,4,-0.539349753,20.8002497,-30.23227691,36.70057019
6.859996432,25.53163193,4,0.149652114,25.51236962,-31.81463722,40.78081094
4.226856125,19.4845035,4,-3.349065363,22.1960525,-34.15178789,40.86839367
1.669273471,27.63832706,4,-3.63711681,24.1106367,-31.48388235,39.821932
4.154156777,24.23007643,4,-3.357253232,22.09528403,-34.11195625,40.78110205
8.088138237,18.83425172,4,-0.291888435,22.49265064,-30.61385479,37.98963854
5.176882717,17.58695572,4,-2.383556059,23.51288315,-34.67230312,41.96076283
1.80306664,16.14148064,4,-3.622048161,23.99305797,-31.71197108,39.93037909
5.268160352,18.13539398,4,-2.245069017,23.63940296,-34.72231372,42.06543448
8.733254064,20.12930733,4,-0.523819956,20.9064588,-30.25622339,36.78034068
12.64129668,22.37810605,4,3.180419499,19.68156953,-24.0484397,31.23790485
11.17730151,19.12119789,4,-1.402501916,16.45894369,-27.14841168,31.77892535
9.713306333,15.86428972,4,-0.876167555,18.84384929,-29.71291402,35.19539154
8.24931116,12.60738156,4,-0.349833194,22.09636339,-30.52450572,37.68444119
5.708388638,6.954663936,4,-1.577151697,24.24960283,-34.55206888,42.24187625
7.670021153,10.37441838,4,-0.141567319,23.52070464,-30.84564541,38.7904296
9.631653668,13.79417282,4,-0.846811855,18.97686468,-29.75817963,35.304217
12.88108129,19.45896704,4,3.684761191,20.75933614,-23.93954458,31.90030245
11.745783,17.75292952,4,0.108891714,15.65647914,-25.41699444,29.85231654
10.61048472,16.04689201,4,-1.198720402,17.38231049,-28.87475875,33.72437311
9.475186428,14.34085449,4,-0.790558879,19.23175596,-29.84492002,35.51344353
8.33988814,12.63481697,4,-0.382397357,21.87365537,-30.47429276,37.51380475
7.204589853,10.92877945,4,0.025764166,24.66509345,-31.10366551,39.6964168
6.069291565,9.222741933,4,-1.029587345,24.74984992,-33.69418384,41.82000892
4.918616114,7.493596817,4,-2.775399888,23.15490014,-34.53080003,41.66807406
6.290870167,5.658116063,4,-0.693406798,25.05697974,-33.16747997,41.57420804
6.133329874,8.588988021,4,-0.932427991,24.83861334,-33.54196145,41.74792584
5.975789581,11.51985998,4,-1.171449185,24.62024694,-33.91644292,41.92676893
5.818249288,14.45073194,4,-1.410470379,24.40188054,-34.2909244,42.110672
5.660708995,17.3816039,4,-1.649491572,24.18351414,-34.66540587,42.29956906
5.503168701,20.31247585,4,-1.888512766,23.96514774,-34.85107373,42.33783328
5.345628408,23.24334781,4,-2.12753396,23.74678134,-34.76475812,42.1547676
5.188088115,26.17421977,4,-2.366555154,23.52841494,-34.67844251,41.97357821
5.030547822,29.10509173,4,-2.605576347,23.31004854,-34.5921269,41.7942895
4.757082932,34.19261925,4,-3.02047912,22.9309992,-34.44229674,41.48765868
4.990576056,31.53329719,4,-2.66622178,23.25464373,-34.57022655,41.74910487
5.22406918,28.87397513,4,-2.31196444,23.57828825,-34.69815637,42.01479396
5.457562304,26.21465307,4,-1.9577071,23.90193277,-34.82608619,42.28464599
5.691055428,23.55533101,4,-1.60344976,24.22557729,-34.59327082,42.26279726
5.924548552,20.89600895,4,-1.24919242,24.54922181,-34.03824552,41.98603257
6.158041676,18.23668689,4,-0.89493508,24.87286633,-33.48322021,41.72033586
6.549394838,13.7794503,4,-0.301171427,25.41532045,-32.55295337,41.30041152
7.013141708,11.76550101,4,0.094593448,25.13582052,-31.45060293,40.26113319
7.476888577,9.751551722,4,-0.072132451,23.99557334,-30.95271188,39.16456454
7.940635447,7.737602436,4,-0.238858351,22.85532617,-30.69562558,38.27067307
8.529956917,5.178310649,4,-0.45073073,21.40631985,-30.36892477,37.15784277
8.445159919,7.332536063,4,-0.420244581,21.61481622,-30.41593349,37.31629531
8.36036292,9.486761477,4,-0.389758433,21.82331259,-30.46294221,37.47532164
8.275565922,11.64098689,4,-0.359272285,22.03180895,-30.50995093,37.63491448
8.190768923,13.7952123,4,-0.328786136,22.24030532,-30.55695965,37.79506666
8.105971925,15.94943772,4,-0.298299988,22.44880169,-30.60396837,37.9557711
8.021174926,18.10366313,4,-0.26781384,22.65729806,-30.65097709,38.11702082
7.936377928,20.25788855,4,-0.237327691,22.86579443,-30.69798581,38.27880891
7.851580929,22.41211396,4,-0.206841543,23.0742908,-30.74499453,38.4411286
7.766783931,24.56633937,4,-0.176355395,23.28278716,-30.79200325,38.60397316
7.681986932,26.72056479,4,-0.145869246,23.49128353,-30.83901197,38.76733598
7.597189934,28.8747902,4,-0.115383098,23.6997799,-30.88602069,38.93121055
7.512392935,31.02901561,4,-0.08489695,23.90827627,-30.93302941,39.09559042
7.427595937,33.18324103,4,-0.054410801,24.11677264,-30.98003813,39.26046925
7.342798938,35.33746644,4,-0.023924653,24.32526901,-31.02704685,39.42584078
7.25800194,37.49169186,4,0.006561496,24.53376538,-31.07405557,39.59169883
7.173204941,39.64591727,4,0.037047644,24.74226174,-31.12106429,39.75803732
7.088407943,41.80014268,4,0.067533792,24.95075811,-31.27169117,40.00579408
6.931302104,45.79133809,4,0.124016356,25.33704533,-31.64513993,40.53882247
7.560034993,42.72441209,4,-0.102025184,23.79113538,-30.90661819,39.00317397
8.188767882,39.65748609,4,-0.328066723,22.24522542,-30.55806896,37.79885264
9.430832719,33.59875907,4,-0.77461287,19.30400989,-29.86950828,35.57291593
5.708312857,36.52783243,4,-1.577266673,24.24949779,-34.55224902,42.24196758
0.620723827,40.53101362,4,-6.501529371,22.16554382,-29.90136219,37.78455608
0.754713209,37.42503462,4,-5.866498179,22.75221036,-29.94921286,38.06618221
0.768896675,35.13505707,4,-5.799276854,22.81431203,-29.9542781,38.0970238
0.783080142,32.84507953,4,-5.732055529,22.87641371,-29.97311229,38.13888075
0.797263609,30.55510199,4,-5.664834204,22.93851539,-29.99729207,38.18511969
0.811447075,28.26512445,4,-5.59761288,23.00061706,-30.02147184,38.23153707
0.825630542,25.97514691,4,-5.530391555,23.06271874,-30.04565162,38.27813224
0.839814009,23.68516936,4,-5.46317023,23.12482042,-30.0698314,38.32490455
0.853997476,21.39519182,4,-5.395948905,23.18692209,-30.09401117,38.37185335
0.868180942,19.10521428,4,-5.32872758,23.24902377,-30.11819095,38.41897799
0.882364409,16.81523674,4,-5.261506255,23.31112544,-30.14237073,38.46627784
0.896547876,14.5252592,4,-5.19428493,23.37322712,-30.1665505,38.51375224
0.910731342,12.23528165,4,-5.127063606,23.4353288,-30.19073028,38.56140055
0.924914809,9.945304113,4,-5.059842281,23.49743047,-30.21491006,38.60922212
0.939098276,7.655326571,4,-4.992620956,23.55953215,-30.23908984,38.65721632
0.953281743,5.365349029,4,-4.925399631,23.62163383,-30.26326961,38.70538249
0.97278298,2.216796077,4,-1.458789154,13.89973732,-26.37134126,29.84591099
2.832320212,6.72490136,4,-3.506126988,23.08854003,-33.38772802,40.74449643
4.691857445,11.23300664,4,-3.119439669,22.84059024,-34.40655999,41.41539372
6.551394677,15.74111193,4,-0.298137258,25.41809243,-32.54819965,41.29834875
9.67563528,23.31525743,4,-0.862624089,18.90521691,-29.73379764,35.24556808
10.25454426,25.30224916,4,-1.070752977,17.96215146,-29.41286918,34.48046216
10.83345324,27.28924089,4,-1.278881865,17.01908601,-28.1956662,32.95876849
11.41236222,29.27623262,4,-1.034710254,16.07602057,-26.4324901,30.9545731
11.9912712,31.26322435,4,0.950893166,16.7598818,-24.669314,29.83911676
12.6727754,33.60235407,4,3.28838854,19.8230578,-24.03414404,31.32741929
11.07102014,31.2831951,4,-1.364291725,16.63208021,-27.47211156,32.14349542
9.469264882,28.96403614,4,-0.78842997,19.24140239,-29.84820273,35.52137939
7.867509626,26.64487717,4,-0.212568215,23.03512579,-30.73616417,38.41059741
6.265754369,24.3257182,4,-0.731512656,25.02216676,-33.22718153,41.60155685
4.663999113,22.00655923,4,-3.161706517,22.80197584,-34.39129654,41.38463202
2.427876592,18.76890881,4,-3.551678036,23.44396898,-32.7771384,40.45460295
2.260409621,22.2429648,4,-3.570539246,23.59114056,-32.49164304,40.31125812
2.09294265,25.71702079,4,-3.589400455,23.73831215,-32.20614767,40.16997893
1.881558506,30.10212638,4,-3.613207901,23.92407857,-31.84578293,39.99463335
1.437963069,33.26285792,4,-3.663168478,24.3139145,-31.0895476,39.63767414
0.994367631,36.42358947,4,-4.730676583,23.80152656,-30.33331226,38.84587237
0.258576925,41.66628744,4,-8.217893574,20.57989976,-29.77203124,37.11387737
2.744768982,38.41284925,4,-3.515987572,23.1654809,-33.31737214,40.73142472
5.230961039,35.15941105,4,-2.301508065,23.58784104,-34.70193239,42.02269977
8.457055707,30.93773414,4,-0.424521345,21.5855672,-30.40933884,37.29403195
8.508389149,26.15868513,4,-0.442976703,21.45935004,-30.38088124,37.1980897
8.594205703,18.16932197,4,-0.473829401,21.24834682,-30.33330731,37.03817341
8.513058753,25.69628167,4,-0.444655515,21.44786856,-30.37829256,37.18937272
7.912800704,28.7449345,4,-0.228851227,22.92376541,-30.71105626,38.32388772
7.312542656,31.79358733,4,-0.013046939,24.39966227,-31.04381996,39.48496481
6.712284608,34.84224016,4,-0.054033971,25.64110176,-32.16575592,41.13520235
6.112026559,37.89089299,4,-0.964749524,24.80908484,-33.59260053,41.77181158
5.511768511,40.93954582,4,-1.875465077,23.97706792,-34.85578552,42.34787999
4.911510463,43.98819865,4,-2.78618063,23.14505101,-34.52690688,41.66009466
3.791960699,49.6742841,4,-3.39804609,22.24519874,-33.91351067,40.70039054
4.259724415,47.46227808,4,-3.345363524,22.2416112,-34.16979627,40.90789292
4.727488131,45.25027206,4,-3.06538055,22.88997789,-34.42608188,41.45482794
5.195251848,43.03826604,4,-2.35568629,23.53834458,-34.68236749,41.98177626
5.663015564,40.82626002,4,-1.64599203,24.18671127,-34.65992304,42.29676769
6.13077928,38.61425401,4,-0.93629777,24.83507796,-33.54802434,41.75078069
6.598542997,36.40224799,4,-0.226603509,25.48344465,-32.43612564,41.24996421
7.267236136,33.2400676,4,0.003241625,24.5110606,-31.06893643,39.57361385
6.78508136,30.41908808,4,0.056413752,25.6965686,-31.99271425,41.03474851
6.302926584,27.59810857,4,-0.675114721,25.07369112,-33.13882124,41.56112654
5.820771808,24.77712905,4,-1.406643194,24.405377,-34.28492824,42.10768785
5.338617032,21.95614953,4,-2.138171667,23.73706288,-34.76091662,42.14666364
4.856462256,19.13517002,4,-2.86970014,23.06874876,-34.49674621,41.5984116
4.37430748,16.3141905,4,-3.332458441,22.40043464,-34.23257581,41.04575493
3.830819043,13.13436148,4,-3.393669612,22.21104966,-33.93480098,40.69912085
4.995248961,16.87888222,4,-2.659132016,23.26112083,-34.57278682,41.75438077
6.15967888,20.62340296,4,-0.892451103,24.87513566,-33.47932849,41.71851243
7.324108798,24.3679237,4,-0.017205189,24.37122378,-31.03740806,39.46235603
8.488538716,28.11244444,4,-0.435840092,21.5081577,-30.39188568,37.23516509
9.652968634,31.85696519,4,-0.854474994,18.94214177,-29.7463633,35.27578478
11.05392312,36.36209088,4,-1.35814502,16.65993192,-27.52418373,32.20215179
9.47315071,40.20405437,4,-0.789827,19.23507222,-29.84604855,35.51617159
7.892378296,44.04601785,4,-0.221508979,22.97397943,-30.72237778,38.36296774
5.51987213,49.8122382,4,-1.863170211,23.98830034,-34.86022546,42.35735208
5.39488428,45.53825043,4,-2.05280262,23.81505484,-34.79174519,42.21180367
