BSSID,SSID,Building,Floor,Location_x,Location_y,Frequency,AccX,AccY,AccZ,ORIx,ORIy,ORIz,Level,GeoX,GeoY,GeoZ,Model,Time
a4:c6:4f:d5:fa:81,eduroam,IBSS,4N-right,50,5,2437,-9.592899,-0.84819996,1.8508999,355.1169923213126,4.961880995675442,-79.07927451224731,-87,35.3125,34.8125,-4.0625,EVA-AL10,1534321993700
44:6a:2e:01:10:20,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:0f:d0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c1:91,eduroam,IBSS,4N-right,50,5,5805,-9.6153,-0.82479995,1.7419,347.68808627101623,4.824676155628226,-79.73170784214527,-63,42.3125,34.25,-0.875,EVA-AL10,1534322164358
44:6a:2e:09:f4:21,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f2:f0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c3:91,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:33:e0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:ef:20,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:f2:b1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:ef:30,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:3b:81,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
00:06:f4:b8:11:40,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:33:f0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c3:90,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
a4:c6:4f:d5:fa:80,XJTLU,IBSS,4N-right,50,5,2437,-1.8054999,1.8927,9.4513,52.43607259786157,-11.128079728827752,-10.815020569541154,-81,-18.4375,12.875,-43.375,EVA-AL10,1534322087994
44:6a:2e:09:f7:d0,XJTLU,IBSS,4N-right,50,5,5805,-9.617499,-0.8438,1.7206,348.623112701408,4.936083371180304,-79.85691887000993,-76,43.5,34.875,-1.4375,EVA-AL10,1534322164178
44:6a:2e:09:d8:c1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
00:06:f4:b8:17:f1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
a4:c6:4f:d5:fa:f1,eduroam,IBSS,4N-right,50,5,5805,-9.473599,-0.3148,2.514,346.31767796971855,1.8395680189703643,-75.138016304529,-79,37.5,34.5,-1.5625,EVA-AL10,1534322098885
28:f3:66:a4:0a:ca,Mixers-9854,IBSS,4N-right,50,5,2452,-9.655399,-0.8208,1.5058999,344.95335963583955,4.801231531302157,-81.13530488639371,-72,43.625,34.0,1.4375,EVA-AL10,1534322165472
44:6a:2e:09:c5:81,eduroam,IBSS,4N-right,50,5,2437,9.5615,-1.2653999,1.7737,12.57805546508788,7.4138595704416055,79.49084122106477,-88,-24.3125,41.9375,4.25,EVA-AL10,1534319781732
44:6a:2e:09:f0:f1,eduroam,IBSS,4N-right,50,5,5785,-9.616099,-0.8304,1.7350999,346.95169710961414,4.857487103740498,-79.77177373181657,-82,42.9375,34.75,-0.4375,EVA-AL10,1534322164473
44:6a:2e:09:f1:c1,eduroam,IBSS,4N-right,50,5,2437,0.0405,9.6289,1.8578,337.9357364146233,-79.07700688944287,1.2488489700397623,-87,10.6875,-31.0625,-35.0,EVA-AL10,1534319202705
a4:c6:4f:d5:fb:00,XJTLU,IBSS,4N-right,50,5,2462,-9.5414,-0.951,2.0557,355.5865866097712,5.565055428166092,-77.84144615915507,-91,34.625,35.5,-4.9375,EVA-AL10,1534321993427
78:11:dc:39:d3:59,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:07:14:a1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:c7:b1,eduroam,IBSS,4N-right,50,5,5785,-9.6357,-0.1388,1.8173,359.8193452850737,0.8109796829762608,-79.31943079365412,-86,36.1875,43.375,-6.6875,EVA-AL10,1534321353516
44:6a:2e:09:c7:c0,XJTLU,IBSS,4N-right,50,5,2437,-9.7492,-0.7468,0.752,349.13795443179697,4.367446217114648,-85.58925075359153,-88,41.25,34.6875,2.875,EVA-AL10,1534322152816
44:6a:2e:09:f4:e1,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
44:6a:2e:09:d5:d0,none,IBSS,4N-right,50,5,none,none,none,none,none,none,none,-110,none,none,none,EVA-AL10,none
28:f3:66:a7:a1:c6,Mixers-9744,IBSS,4N-right,50,5,2427,-9.7484,-0.7427,0.7661,347.38074568761226,4.343428710671944,-85.50651667217515,-85,40.75,36.0625,4.1875,EVA-AL10,1534322152953
44:6a:2e:09:c0:f0,XJTLU,IBSS,4N-right,50,5,5745,-9.629399,-0.8042,1.6726999,346.73085489563283,4.7038654771363335,-80.14561730584803,-79,42.75,33.8125,-0.1875,EVA-AL10,1534322165068
