ID,BUILDING,FLOOR,LOC_X,LOC_Y,MAG_X,MAG_Y,MAG_Z,G
1,IBSS,4,0,0,0,20.387165,-53.771187,9.806624
2,IBSS,4,1,0,0,23.939987,-48.772015,9.806639
3,IBSS,4,2,0,0,24.266232,-43.574265,9.806561
4,IBSS,4,3,0,0,23.236959,-44.168583,9.806633
5,IBSS,4,4,0,0,23.998175,-40.786045,9.806617
6,IBSS,4,5,0,0,23.702391,-39.210735,9.806621
7,IBSS,4,6,0,0,23.129759,-37.59943,9.806552
8,IBSS,4,7,0,0,24.369493,-35.752552,9.806579
9,IBSS,4,8,0,0,26.361261,-34.539463,9.806578
10,IBSS,4,9,0,0,25.734238,-33.23312,9.806552
11,IBSS,4,10,0,0,27.162186,-35.384453,9.806599
12,IBSS,4,11,0,0,27.367218,-37.885212,9.80663
13,IBSS,4,12,0,0,27.668011,-40.246078,9.806552
14,IBSS,4,13,0,-0.000001,31.97266,-44.709332,9.806633
15,IBSS,4,14,0,0,35.532776,-38.292152,9.806592
16,IBSS,4,15,0,0.000001,41.824036,-37.693932,9.806562
17,IBSS,4,16,0,0.000001,34.053146,-36.434025,9.8066
18,IBSS,4,17,0,0.000001,34.086967,-37.049488,9.806621
19,IBSS,4,18,0,0,34.182194,-38.791355,9.80661
20,IBSS,4,19,0,0,36.507782,-37.545002,9.806611
21,IBSS,4,20,0,0,39.331242,-38.182938,9.806554
22,IBSS,4,21,0,0,37.125729,-37.972652,9.806626
23,IBSS,4,22,0,0.000001,37.198517,-43.417271,9.80661
24,IBSS,4,23,0,0,33.521286,-43.473934,9.806566
25,IBSS,4,24,0,0,36.012196,-34.42498,9.806548
26,IBSS,4,25,0,0,39.68438,-35.851173,9.806627
27,IBSS,4,26,0,0,30.63385,-33.732933,9.806589
28,IBSS,4,27,0,0,27.447407,-41.085312,9.806626
29,IBSS,4,28,0,0,23.718861,-34.393147,9.806617
30,IBSS,4,29,0,0,34.766514,-27.045902,9.806575
31,IBSS,4,30,0,0,35.273655,-28.517199,9.806573
32,IBSS,4,31,0,0.000001,52.074188,-31.423843,9.806602
33,IBSS,4,32,0,0,53.971771,-27.970924,9.806564
34,IBSS,4,33,0,0,53.679749,-37.053852,9.806587
35,IBSS,4,34,0,0,34.983162,-36.718296,9.806584
36,IBSS,4,35,0,0,39.452694,-33.562107,9.806592
37,IBSS,4,36,0,0,33.19791,-45.892544,9.806542
38,IBSS,4,37,0,-0.000001,27.879715,-46.545288,9.806617
39,IBSS,4,38,0,0.000001,30.7402,-47.81802,9.806553
40,IBSS,4,39,0,0,37.245773,-39.548702,9.806561
41,IBSS,4,40,0,0,40.820984,-33.062313,9.806623
42,IBSS,4,41,0,0,41.519108,-29.583437,9.806599
43,IBSS,4,42,0,0.000001,38.943302,-27.287262,9.806555
44,IBSS,4,43,0,0.000001,36.043953,-33.905384,9.806583
45,IBSS,4,44,0,0.000001,35.964096,-34.982948,9.806597
46,IBSS,4,45,0,0,34.929268,-34.218979,9.806563
47,IBSS,4,46,0,0,34.644161,-34.294289,9.806593
48,IBSS,4,47,0,0.000001,31.901268,-36.10067,9.80661
49,IBSS,4,48,0,0,31.736021,-37.85902,9.806578
50,IBSS,4,49,0,0,31.58305,-40.660992,9.806594
51,IBSS,4,50,0,0,31.929199,-42.358944,9.806558
52,IBSS,4,0,1,0,27.034004,-41.734352,9.806601
53,IBSS,4,1,1,0,23.619974,-42.368073,9.806552
54,IBSS,4,2,1,0,24.463125,-40.234043,9.806602
55,IBSS,4,3,1,0,24.557636,-41.487534,9.806623
